Gene_ID	Harringtonine_Control_rep1	Harringtonine_Control_rep2	Harringtonine_Control_rep3	Harringtonine_Treated_rep1	Harringtonine_Treated_rep2	Harringtonine_Treated_rep3
ENSG00000007312.14	0	0	0	0	0	0
ENSG00000007314.12	0	0	0	0	1	3
ENSG00000007341.19	175	149	197	190	149	213
ENSG00000007350.17	0	0	0	0	0	0
ENSG00000007372.25	0	0	0	0	0	0
ENSG00000007376.8	148	197	172	145	98	144
ENSG00000007384.15	430	599	619	641	415	598
ENSG00000007392.17	1130	1367	1349	1454	1204	1550
ENSG00000007402.12	33	38	50	27	24	32
ENSG00000007516.14	86	116	103	146	81	103
ENSG00000007520.4	652	964	935	582	496	713
ENSG00000007541.17	164	184	205	228	177	251
ENSG00000007545.16	588	998	957	941	605	877
ENSG00000007866.22	342	486	442	381	322	425
ENSG00000007908.16	0	0	0	0	0	0
ENSG00000007923.17	2424	2921	2606	2201	1750	2336
ENSG00000007933.13	0	0	0	0	0	0
ENSG00000007944.15	226	303	296	238	221	254
ENSG00000007952.18	0	0	0	0	0	1
ENSG00000007968.7	70	159	125	109	80	90
ENSG00000008018.9	4651	5213	5436	2668	3119	3542
ENSG00000008056.14	3	9	6	1	3	12
ENSG00000008083.14	1023	1413	1249	1210	925	1112
ENSG00000008086.13	232	230	177	203	173	247
ENSG00000008118.10	0	0	0	0	0	0
ENSG00000008128.23	793	848	829	869	649	959
ENSG00000008130.15	1343	1731	1538	1727	1195	1458
ENSG00000008196.13	0	2	0	0	0	0
ENSG00000008197.5	0	0	0	0	0	0
ENSG00000008226.20	0	0	0	0	2	3
ENSG00000008256.16	153	141	151	144	124	143
ENSG00000008277.15	606	612	527	673	556	830
ENSG00000008282.10	909	778	855	511	563	655
ENSG00000008283.16	758	999	976	698	476	685
ENSG00000008294.22	4155	4474	4286	3609	3241	4291
ENSG00000008300.17	426	720	618	769	451	705
ENSG00000008311.16	2	1	8	4	2	4
ENSG00000008323.16	289	361	316	334	233	337
ENSG00000008324.12	61	77	74	44	52	42
ENSG00000008382.16	201	257	241	248	180	247
ENSG00000008394.13	614	697	737	402	526	590
ENSG00000008405.12	341	395	350	367	332	367
ENSG00000008438.5	0	0	0	0	0	0
ENSG00000008441.19	115	185	135	119	87	123
ENSG00000008513.16	185	221	259	199	163	189
ENSG00000008516.18	8	22	5	12	14	18
ENSG00000008517.19	0	0	3	3	0	1
ENSG00000008710.20	832	1231	1145	1432	960	1229
ENSG00000008735.14	174	253	185	145	127	194
ENSG00000008838.21	722	921	940	749	558	765
ENSG00000008853.18	279	474	445	384	270	397
ENSG00000008869.12	1187	1341	1243	1404	1197	1677
ENSG00000008952.17	6776	7655	6618	5151	5188	6917
ENSG00000008988.11	193	173	205	82	113	121
ENSG00000009307.17	29970	31488	31433	25314	24449	31016
ENSG00000009335.18	4103	4983	4804	4125	3251	4419
ENSG00000009413.16	1246	1598	1439	1443	1232	1652
ENSG00000009694.14	1	3	3	6	1	1
ENSG00000009709.12	0	1	2	0	0	0
ENSG00000009724.18	0	3	4	0	0	2
ENSG00000009765.15	0	1	0	1	0	0
ENSG00000009780.16	107	91	112	108	119	105
ENSG00000009790.15	0	0	0	0	0	0
ENSG00000009830.13	231	312	309	417	283	411
ENSG00000009844.16	299	314	310	206	255	309
ENSG00000009950.16	78	77	81	113	78	114
ENSG00000009954.11	15094	17270	16063	14249	12633	16716
ENSG00000010017.13	1822	2419	2196	2084	1710	2408
ENSG00000010030.14	0	1	0	2	0	1
ENSG00000010072.16	342	433	389	308	268	304
ENSG00000010165.20	1971	2331	2276	1588	1391	1721
ENSG00000010219.14	25	23	30	38	26	27
ENSG00000010244.19	807	958	956	652	665	809
ENSG00000010256.11	2568	2669	2635	1439	1747	1968
ENSG00000010270.14	211	254	231	169	180	158
ENSG00000010278.15	3322	3633	3672	1862	2330	2545
ENSG00000010282.15	0	0	0	0	0	0
ENSG00000010292.13	6713	7738	7253	5292	4773	6404
ENSG00000010295.20	3	3	5	5	1	4
ENSG00000010310.9	1	2	1	0	1	0
ENSG00000010318.22	1	9	10	7	4	7
ENSG00000010319.7	5	4	8	3	2	2
ENSG00000010322.16	406	582	541	721	472	657
ENSG00000010327.10	0	1	1	0	2	0
ENSG00000010361.14	50	57	52	52	39	55
ENSG00000010379.16	0	1	0	0	0	0
ENSG00000010404.18	27	40	31	33	17	43
ENSG00000010438.17	0	0	0	0	0	0
ENSG00000010539.12	271	259	264	271	205	292
ENSG00000010610.10	0	0	0	0	0	0
ENSG00000010626.15	54	79	68	58	41	67
ENSG00000010671.18	6	7	0	1	0	4
ENSG00000010704.19	61	86	82	55	50	62
ENSG00000010803.17	49	86	75	94	82	145
ENSG00000010810.17	32	38	44	44	24	37
ENSG00000010818.11	920	1328	1196	1104	767	1030
ENSG00000010932.17	0	0	0	0	0	0
ENSG00000011007.13	1264	1565	1280	1051	835	1155
ENSG00000011009.11	11	24	37	17	19	31
ENSG00000011021.23	295	320	336	433	345	357
ENSG00000011028.14	102	118	124	99	91	93
ENSG00000011052.21	4	1	5	4	4	3
ENSG00000011083.9	0	0	0	0	0	0
ENSG00000011105.14	73	54	65	61	55	74
ENSG00000011114.15	409	435	418	417	345	399
ENSG00000011132.12	16	18	25	26	14	24
ENSG00000011143.19	1001	1146	1121	955	773	1023
ENSG00000011198.10	277	309	357	235	214	301
ENSG00000011201.12	0	7	6	3	5	7
ENSG00000011243.19	1174	1466	1345	1260	937	1216
ENSG00000011258.16	1302	1370	1388	1675	1407	1736
ENSG00000011260.14	3745	3701	3746	3482	3334	4146
ENSG00000011275.19	1246	1701	1626	1606	1260	1687
ENSG00000011295.16	477	694	643	521	495	624
ENSG00000011304.22	1864	2104	2108	1369	1257	1619
ENSG00000011332.22	122	103	110	158	111	129
ENSG00000011347.10	566	767	648	669	540	694
ENSG00000011376.12	554	641	659	483	424	570
ENSG00000011405.14	1530	1866	1637	1815	1485	2068
ENSG00000011422.12	64	70	54	52	49	61
ENSG00000011426.11	3067	3265	3063	3075	2892	3826
ENSG00000011451.21	463	838	735	642	414	580
ENSG00000011454.18	2567	3064	2764	2949	2371	3082
ENSG00000011465.18	0	0	0	0	0	0
ENSG00000011478.13	75	95	124	107	104	93
ENSG00000011485.15	459	598	600	456	405	507
ENSG00000011523.15	344	421	433	464	332	386
ENSG00000011566.15	1057	1117	1125	1346	1177	1639
ENSG00000011590.14	1	1	1	0	1	1
ENSG00000011600.12	0	0	0	0	0	0
ENSG00000011638.11	67	58	75	76	37	63
ENSG00000011677.13	0	1	0	0	0	0
ENSG00000012048.24	2081	2595	2483	2731	2283	2939
ENSG00000012061.16	46	54	62	51	33	46
ENSG00000012124.17	14	12	15	21	7	26
ENSG00000012171.20	392	459	485	583	405	578
ENSG00000012174.12	237	260	299	214	180	260
ENSG00000012211.13	272	462	389	346	275	396
ENSG00000012223.13	1	0	0	0	0	0
ENSG00000012232.10	192	214	232	193	169	203
ENSG00000012504.15	0	0	0	0	0	0
ENSG00000012660.14	381	446	449	328	298	414
ENSG00000012779.12	0	0	0	0	0	0
ENSG00000012817.16	1	0	0	0	0	0
ENSG00000012822.16	93	108	124	150	115	133
ENSG00000012963.15	365	333	359	205	326	362
ENSG00000012983.12	684	737	754	936	763	1031
ENSG00000013016.16	215	302	301	188	173	216
ENSG00000013275.8	2970	3842	3536	2133	2133	2747
ENSG00000013288.9	202	284	278	320	268	292
ENSG00000013293.6	0	0	0	0	0	0
ENSG00000013297.12	1	0	1	0	0	2
ENSG00000013306.16	738	1198	1191	906	784	998
ENSG00000013364.19	136	172	142	143	143	193
ENSG00000013374.17	602	736	751	546	499	639
ENSG00000013375.17	451	486	470	415	431	548
ENSG00000013392.8	165	135	168	130	142	120
ENSG00000013441.17	1316	1208	1261	1530	1177	1626
ENSG00000013503.10	1111	1164	1094	918	791	1150
ENSG00000013523.11	1190	1422	1390	1552	1221	1487
ENSG00000013561.18	1059	1265	1168	794	745	1001
ENSG00000013563.14	168	214	215	179	145	166
ENSG00000013573.17	585	496	539	854	568	778
ENSG00000013583.10	872	889	934	480	469	628
ENSG00000013588.9	1566	1727	1773	1080	1116	1466
ENSG00000013619.15	56	63	73	45	55	49
ENSG00000013725.14	0	0	0	0	0	0
ENSG00000013810.21	2952	3404	3434	3616	2570	3504
ENSG00000014123.10	1182	1375	1288	1224	1064	1512
ENSG00000014138.9	63	97	82	72	67	62
ENSG00000014164.7	329	610	454	374	210	286
ENSG00000014216.16	3272	4077	3809	3055	2721	3714
ENSG00000014257.17	9	16	15	9	7	17
ENSG00000014641.21	3025	3098	3029	1798	2119	2448
ENSG00000014824.14	720	787	843	874	786	1081
ENSG00000014914.21	149	204	180	226	140	191
ENSG00000014919.13	37	49	55	44	41	51
ENSG00000015133.20	3743	4516	4271	4734	3405	4637
ENSG00000015153.15	104	143	123	114	87	129
ENSG00000015171.21	4028	4470	4052	3492	3149	4116
ENSG00000015285.12	29	67	68	75	59	68
ENSG00000015413.10	1	0	0	0	0	2
ENSG00000015475.19	186	229	304	175	136	177
ENSG00000015479.20	39	43	45	20	22	24
ENSG00000015520.15	0	2	3	1	2	2
ENSG00000015532.10	348	444	452	422	312	448
ENSG00000015568.13	0	0	0	0	0	0
ENSG00000015592.17	0	0	0	0	0	2
ENSG00000015676.18	1162	1333	1243	1120	945	1243
ENSG00000016082.15	0	0	1	0	0	0
ENSG00000016391.11	212	288	248	268	195	275
ENSG00000016402.14	7	3	7	8	2	5
ENSG00000016490.16	0	0	0	0	0	0
ENSG00000016602.9	0	0	0	0	0	0
ENSG00000016864.19	107	133	158	94	92	110
ENSG00000017260.20	1423	1523	1470	1519	1443	1949
ENSG00000017427.17	1	0	0	0	0	0
ENSG00000017483.16	0	0	2	2	1	0
ENSG00000017797.13	1257	1527	1353	1192	1051	1354
ENSG00000018189.13	663	612	620	973	751	910
ENSG00000018236.15	0	0	0	0	0	0
ENSG00000018280.17	0	0	0	0	0	0
ENSG00000018408.15	81	121	90	50	62	84
ENSG00000018510.18	0	1	0	1	0	0
ENSG00000018610.15	299	323	300	239	248	283
ENSG00000018625.15	0	1	0	0	0	0
ENSG00000018699.13	781	828	859	694	647	945
ENSG00000018869.18	0	0	0	0	0	0
ENSG00000019102.12	0	0	0	1	0	2
ENSG00000019144.20	333	466	441	472	324	479
ENSG00000019169.11	0	0	0	0	0	0
ENSG00000019186.10	10	26	27	11	9	16
ENSG00000019485.14	70	108	112	122	74	102
ENSG00000019505.8	1	3	2	0	0	1
ENSG00000019549.13	0	0	0	0	0	0
ENSG00000019582.17	0	0	0	0	0	0
ENSG00000019991.18	0	0	0	0	0	0
ENSG00000019995.6	937	1142	1037	793	698	869
ENSG00000020129.16	277	301	327	351	280	353
ENSG00000020181.18	16	5	7	11	4	8
ENSG00000020256.20	190	298	258	157	137	221
ENSG00000020426.11	1230	1251	1258	815	897	1105
ENSG00000020577.14	135	243	192	228	111	207
ENSG00000020633.19	0	1	0	0	0	0
ENSG00000020922.13	814	863	719	756	751	1009
ENSG00000021300.14	12	22	27	5	19	12
ENSG00000021355.13	335	341	346	271	255	319
ENSG00000021461.18	0	0	0	0	0	0
ENSG00000021488.13	0	1	0	0	1	0
ENSG00000021574.14	580	639	631	435	443	529
ENSG00000021645.20	1	0	2	0	0	0
ENSG00000021762.20	163	198	179	152	103	169
ENSG00000021776.11	3338	3986	3693	3319	2958	3874
ENSG00000021826.18	10	5	8	4	8	17
ENSG00000021852.14	0	0	0	0	0	0
ENSG00000022267.19	15	29	23	9	12	7
ENSG00000022277.13	2289	2794	2686	1848	1663	2259
ENSG00000022355.18	0	0	0	0	0	0
ENSG00000022556.16	0	0	0	1	0	0
ENSG00000022567.10	116	180	152	127	88	120
ENSG00000022840.17	3540	4543	4529	3785	2705	3517
ENSG00000022976.16	1493	1788	1686	2557	1852	2487
ENSG00000023041.12	381	426	458	616	469	649
ENSG00000023171.20	2	0	1	2	0	1
ENSG00000023191.17	384	368	395	226	250	258
ENSG00000023228.14	3934	4147	3987	3209	3304	4306
ENSG00000023287.13	756	936	765	896	617	907
ENSG00000023318.9	392	533	463	374	434	554
ENSG00000023330.15	698	719	826	519	496	669
ENSG00000023445.16	2	7	6	7	5	4
ENSG00000023516.9	3419	4218	3943	4111	3632	5074
ENSG00000023572.10	276	333	304	172	167	221
ENSG00000023608.5	374	467	410	427	379	515
ENSG00000023697.13	275	358	336	232	221	316
ENSG00000023734.11	1397	1517	1511	1232	1255	1770
ENSG00000023839.12	32	37	41	54	35	51
ENSG00000023892.12	580	705	674	643	464	644
ENSG00000023902.14	196	236	179	165	126	150
ENSG00000023909.10	46	88	78	48	66	64
ENSG00000024048.11	2146	2269	2325	2158	1774	2424
ENSG00000024422.12	308	287	358	179	185	244
ENSG00000024526.17	462	472	471	502	470	575
ENSG00000024862.18	152	169	171	84	83	119
ENSG00000025039.15	33	35	26	24	18	47
ENSG00000025156.13	219	228	197	205	187	269
ENSG00000025293.17	437	601	443	469	407	550
ENSG00000025423.11	24	36	35	19	20	42
ENSG00000025434.19	42	49	81	77	69	73
ENSG00000025708.14	33	38	38	21	28	21
ENSG00000025770.19	491	573	523	584	471	642
ENSG00000025772.8	159	181	251	124	84	153
ENSG00000025796.14	2119	2546	2315	1838	1621	2138
ENSG00000025800.14	1260	1465	1417	1018	916	1221
ENSG00000026025.16	3	10	7	6	5	7
ENSG00000026036.23	5	6	3	2	1	1
ENSG00000026103.25	55	72	56	54	38	71
ENSG00000026297.17	24	31	40	24	36	26
ENSG00000026508.21	1135	1496	1331	1173	1046	1332
ENSG00000026559.14	85	142	105	123	86	121
ENSG00000026652.15	0	4	0	0	1	1
ENSG00000026751.17	0	0	0	0	0	0
ENSG00000026950.17	3	1	12	5	2	7
ENSG00000027001.10	469	528	536	433	379	470
ENSG00000027075.17	978	1127	1089	715	608	780
ENSG00000027644.5	1	0	0	0	0	0
ENSG00000027697.16	428	440	435	364	333	420
ENSG00000027847.14	137	183	175	117	120	133
ENSG00000027869.12	0	1	1	1	1	3
ENSG00000028116.18	1156	1130	1091	924	865	1193
ENSG00000028137.19	0	0	0	0	0	0
ENSG00000028203.19	1044	1264	1249	1140	988	1365
ENSG00000028277.22	0	4	5	2	1	0
ENSG00000028310.18	907	1230	1027	1109	808	1051
ENSG00000028528.15	1906	2041	2085	2202	1885	2451
ENSG00000028839.10	71	111	67	157	124	160
ENSG00000029153.15	160	160	138	177	139	159
ENSG00000029363.17	3008	3814	3225	2487	1981	2690
ENSG00000029364.12	164	241	249	163	149	214
ENSG00000029534.22	12	30	25	27	12	32
ENSG00000029559.7	18	15	2	12	6	11
ENSG00000029639.11	149	168	160	189	165	218
ENSG00000029725.17	3060	3715	3406	3400	2598	3475
ENSG00000029993.15	3519	3408	3282	1886	2229	2348
ENSG00000030066.14	3892	4734	4762	4359	3854	5253
ENSG00000030110.14	3	7	4	4	6	9
ENSG00000030304.15	0	0	0	0	0	0
ENSG00000030419.17	183	223	239	189	149	194
ENSG00000030582.18	543	600	638	375	411	496
ENSG00000031003.11	1663	1937	1839	2009	1648	2170
ENSG00000031081.11	1	0	0	0	4	7
ENSG00000031691.7	325	360	355	376	328	440
ENSG00000031698.13	6815	7117	6947	4268	4352	5359
ENSG00000031823.14	320	406	407	424	330	432
ENSG00000032219.19	3203	3568	3461	3090	2547	3353
ENSG00000032389.13	486	672	623	355	326	379
ENSG00000032444.17	379	518	513	398	309	446
ENSG00000032742.18	426	543	450	498	398	541
ENSG00000033011.14	218	290	266	176	157	227
ENSG00000033030.15	624	763	635	793	683	843
ENSG00000033050.9	0	0	0	0	0	0
ENSG00000033100.17	292	429	359	370	275	376
ENSG00000033122.21	0	0	0	0	0	0
ENSG00000033170.17	1905	2295	2234	1547	1296	1715
ENSG00000033178.13	1192	1265	1295	1645	1425	1871
ENSG00000033327.13	298	417	408	292	216	298
ENSG00000033627.18	646	672	615	652	684	873
ENSG00000033800.14	310	383	356	360	277	427
ENSG00000033867.17	1367	1351	1327	1593	1324	1694
ENSG00000034053.15	0	2	3	3	4	2
ENSG00000034152.19	683	829	807	567	501	652
ENSG00000034239.11	0	0	0	0	0	0
ENSG00000034510.6	4627	5337	4551	1671	1700	2278
ENSG00000034533.12	204	288	265	210	176	253
ENSG00000034677.13	1128	1353	1370	1431	1263	1697
ENSG00000034693.15	162	208	209	148	173	198
ENSG00000034713.8	689	653	626	255	301	258
ENSG00000034971.17	0	0	0	0	0	0
ENSG00000035115.22	880	996	973	1147	948	1297
ENSG00000035141.8	1712	1828	1826	891	851	956
ENSG00000035403.18	1636	1730	1701	1470	1308	1545
ENSG00000035499.13	583	707	759	692	672	917
ENSG00000035664.11	523	596	599	602	495	683
ENSG00000035681.9	1138	1370	1202	981	863	1163
ENSG00000035687.10	1186	1147	1237	1019	1116	1416
ENSG00000035720.8	0	0	0	0	0	0
ENSG00000035862.12	22	37	25	23	31	39
ENSG00000035928.17	1884	2262	2134	1714	1548	2066
ENSG00000036054.13	595	635	600	656	569	729
ENSG00000036257.14	2009	2556	2206	1794	1681	2331
ENSG00000036448.10	0	0	0	0	0	0
ENSG00000036473.8	0	0	0	0	0	0
ENSG00000036530.9	26	29	23	29	32	43
ENSG00000036549.13	1225	1346	1323	1262	968	1425
ENSG00000036565.15	0	0	0	0	0	0
ENSG00000036672.16	32	46	35	33	39	41
ENSG00000036828.17	0	1	0	1	0	0
ENSG00000037042.9	67	101	134	132	93	147
ENSG00000037241.7	131	116	117	65	104	90
ENSG00000037280.16	41	46	55	69	35	57
ENSG00000037474.15	3820	4340	4211	3628	3205	4353
ENSG00000037637.11	231	332	288	268	210	298
ENSG00000037749.13	374	419	444	316	299	423
ENSG00000037757.14	364	383	380	673	454	563
ENSG00000037897.17	217	225	256	199	204	219
ENSG00000037965.6	64	61	47	30	35	64
ENSG00000038002.9	362	309	371	274	270	339
ENSG00000038210.14	279	393	384	250	246	358
ENSG00000038219.13	3484	4146	3712	3445	2822	3610
ENSG00000038274.18	497	557	571	366	375	494
ENSG00000038295.8	0	2	1	1	1	0
ENSG00000038358.15	1415	1703	1701	1395	1200	1628
ENSG00000038382.23	5190	6778	6304	7514	5269	7472
ENSG00000038427.16	0	0	1	0	0	0
ENSG00000038532.17	805	1083	967	904	693	953
ENSG00000038945.15	0	0	0	0	0	0
ENSG00000039068.20	10583	12366	12303	8797	8990	12049
ENSG00000039123.16	3180	3436	3219	2902	2939	3909
ENSG00000039139.11	94	100	91	114	82	119
ENSG00000039319.17	672	759	758	952	899	1111
ENSG00000039523.20	573	719	663	814	584	749
ENSG00000039537.15	0	0	0	0	1	0
ENSG00000039560.14	830	1028	854	753	604	881
ENSG00000039600.11	1	0	0	3	0	1
ENSG00000039650.12	206	208	232	334	233	299
ENSG00000039987.7	1	0	0	0	4	3
ENSG00000040199.18	1779	2078	2116	2176	1685	2240
ENSG00000040275.17	964	1151	987	1068	913	1120
ENSG00000040341.18	373	424	408	314	311	401
ENSG00000040487.13	33	47	55	34	24	41
ENSG00000040531.16	73	86	82	67	64	91
ENSG00000040608.14	3	11	4	9	5	7
